start_date,duration_sec,t_trip,duration_min,time,time1,time2,t0_int,t1_int,t2_int
30-Jul-10,2188.2635,5836,36.47106,1,0,0,1,0,0
31-Jul-10,1819.01,4739,30.31683,2,0,0,1,0,0
01-Aug-10,1232.5258,3756,20.5421,3,0,0,1,0,0
02-Aug-10,1221.6718,5997,20.3612,4,0,0,1,0,0
03-Aug-10,1299.4172,7257,21.65695,5,0,0,1,0,0
04-Aug-10,1123.4869,7201,18.72478,6,0,0,1,0,0
05-Aug-10,1411.6127,7989,23.52688,7,0,0,1,0,0
06-Aug-10,1478.0945,8883,24.63491,8,0,0,1,0,0
07-Aug-10,1320.5423,5946,22.00904,9,0,0,1,0,0
08-Aug-10,1377.2788,7156,22.95465,10,0,0,1,0,0
09-Aug-10,1834.7318,8142,30.57886,11,0,0,1,0,0
10-Aug-10,1023.9498,5713,17.06583,12,0,0,1,0,0
11-Aug-10,1444.5641,13491,24.07607,13,0,0,1,0,0
12-Aug-10,1488.2723,12256,24.80454,14,0,0,1,0,0
13-Aug-10,1207.2744,11082,20.12124,15,0,0,1,0,0
14-Aug-10,1287.9397,8075,21.46566,16,0,0,1,0,0
15-Aug-10,1167.93,9928,19.4655,17,0,0,1,0,0
16-Aug-10,1119.3472,14237,18.65579,18,0,0,1,0,0
17-Aug-10,1187.7363,14374,19.7956,19,0,0,1,0,0
18-Aug-10,1299.1072,15488,21.65179,20,0,0,1,0,0
19-Aug-10,1090.4678,16094,18.17446,21,0,0,1,0,0
20-Aug-10,1430.0577,15407,23.8343,22,0,0,1,0,0
21-Aug-10,1072.7233,10502,17.87872,23,0,0,1,0,0
22-Aug-10,1302.2553,9226,21.70425,24,0,0,1,0,0
23-Aug-10,1151.4414,12274,19.19069,25,0,0,1,0,0
24-Aug-10,1112.7633,15938,18.54605,26,0,0,1,0,0
25-Aug-10,1049.1142,9407,17.48524,27,0,0,1,0,0
26-Aug-10,965.96868,9372,16.09948,28,0,0,1,0,0
27-Aug-10,1027.6365,12064,17.12728,29,0,0,1,0,0
28-Aug-10,1181.5669,9176,19.69278,30,0,0,1,0,0
29-Aug-10,1075.6556,7079,17.92759,31,0,0,1,0,0
30-Aug-10,1070.0331,9771,17.83389,32,0,0,1,0,0
31-Aug-10,1050.8616,16628,17.51436,33,0,0,1,0,0
01-Sep-10,1085.7467,18320,18.09578,34,0,0,1,0,0
02-Sep-10,1284.2334,19818,21.40389,35,0,0,1,0,0
03-Sep-10,1092.2171,18873,18.20362,36,0,0,1,0,0
04-Sep-10,1166.4921,13101,19.44154,37,0,0,1,0,0
05-Sep-10,1410.7093,11924,23.51182,38,0,0,1,0,0
06-Sep-10,1084.6776,16058,18.07796,39,1,0,0,1,0
07-Sep-10,1324.3244,23988,22.07207,40,2,0,0,1,0
08-Sep-10,941.46077,17923,15.69101,41,3,0,0,1,0
09-Sep-10,1174.0677,19818,19.56779,42,4,0,0,1,0
10-Sep-10,960.77427,18552,16.01291,43,5,0,0,1,0
11-Sep-10,1156.7963,12170,19.27994,44,6,0,0,1,0
12-Sep-10,1222.9437,13003,20.38239,45,7,0,0,1,0
13-Sep-10,1082.3276,17341,18.03879,46,8,0,0,1,0
14-Sep-10,887.05198,16385,14.7842,47,9,0,0,1,0
15-Sep-10,966.57642,19956,16.10961,48,10,0,0,1,0
16-Sep-10,928.88872,19610,15.48148,49,11,0,0,1,0
17-Sep-10,991.16731,19534,16.51945,50,12,0,0,1,0
18-Sep-10,1131.877,14245,18.86462,51,13,0,0,1,0
19-Sep-10,1062.8517,10581,17.7142,52,14,0,0,1,0
20-Sep-10,952.13858,19354,15.86898,53,15,0,0,1,0
21-Sep-10,1027.8891,21816,17.13148,54,16,0,0,1,0
22-Sep-10,1092.3126,22861,18.20521,55,17,0,0,1,0
23-Sep-10,1013.5194,17015,16.89199,56,18,0,0,1,0
24-Sep-10,817.6981,17145,13.6283,57,19,0,0,1,0
25-Sep-10,1115.0312,12925,18.58385,58,20,0,0,1,0
26-Sep-10,1048.4551,7184,17.47425,59,21,0,0,1,0
27-Sep-10,878.24247,18075,14.63737,60,22,0,0,1,0
28-Sep-10,874.75501,20773,14.57925,61,23,0,0,1,0
29-Sep-10,797.79872,13345,13.29665,62,24,0,0,1,0
30-Sep-10,1038.9383,20876,17.31564,63,25,0,0,1,0
01-Oct-10,925.36838,10714,15.42281,64,26,0,0,1,0
02-Oct-10,1149.3978,9818,19.15663,65,27,0,0,1,0
03-Oct-10,970.92313,7570,16.18205,66,28,0,0,1,0
04-Oct-10,1168.8912,22712,19.48152,67,29,1,0,0,1
05-Oct-10,1008.6823,21172,16.81137,68,30,2,0,0,1
06-Oct-10,906.66523,19193,15.11109,69,31,3,0,0,1
07-Oct-10,904.5705,23044,15.07617,70,32,4,0,0,1
08-Oct-10,1007.6216,21556,16.79369,71,33,5,0,0,1
09-Oct-10,1064.247,13212,17.73745,72,34,6,0,0,1
10-Oct-10,1272.9447,13661,21.21575,73,35,7,0,0,1
11-Oct-10,953.42915,21176,15.89049,74,36,8,0,0,1
12-Oct-10,1040.5592,22173,17.34265,75,37,9,0,0,1
13-Oct-10,940.13798,21420,15.66897,76,38,10,0,0,1
14-Oct-10,950.50961,20701,15.84183,77,39,11,0,0,1
15-Oct-10,866.44118,19904,14.44069,78,40,12,0,0,1
16-Oct-10,1115.0822,11652,18.5847,79,41,13,0,0,1
17-Oct-10,1319.0569,11725,21.98428,80,42,14,0,0,1
18-Oct-10,928.52598,19720,15.47543,81,43,15,0,0,1
19-Oct-10,823.66464,17300,13.72774,82,44,16,0,0,1
20-Oct-10,1064.0545,19887,17.73424,83,45,17,0,0,1
21-Oct-10,849.75482,20340,14.16258,84,46,18,0,0,1
22-Oct-10,932.81496,19141,15.54692,85,47,19,0,0,1
23-Oct-10,1172.6455,10558,19.54409,86,48,20,0,0,1
24-Oct-10,1042.3832,10374,17.37305,87,49,21,0,0,1
25-Oct-10,959.07483,17717,15.98458,88,50,22,0,0,1
26-Oct-10,857.95304,13479,14.29922,89,51,23,0,0,1
27-Oct-10,908.85054,18838,15.14751,90,52,24,0,0,1
28-Oct-10,932.83129,19034,15.54719,91,53,25,0,0,1
29-Oct-10,846.04875,18200,14.10081,92,54,26,0,0,1
30-Oct-10,1026.8134,12281,17.11356,93,55,27,0,0,1
31-Oct-10,895.35177,7659,14.92253,94,56,28,0,0,1
01-Nov-10,1007.582,18981,16.79303,95,57,29,0,0,1